match_id,date,time_CLT,team1,team2,stage,city,score_team1,score_team2
1,2026-06-11,15:00,México,Sudáfrica,Grupo A,Ciudad de México,-,-
2,2026-06-11,22:00,Corea del Sur,Chequia,Grupo A,Guadalajara,-,-
3,2026-06-12,15:00,Canadá,Bosnia y Herzegovina,Grupo B,Toronto,-,-
4,2026-06-12,21:00,Estados Unidos,Paraguay,Grupo D,Los Ángeles,-,-
5,2026-06-13,21:00,Haití,Escocia,Grupo C,Boston,-,-
6,2026-06-13,24:00,Australia,Türkiye,Grupo D,Vancouver,-,-
7,2026-06-13,18:00,Brasil,Marruecos,Grupo C,Nueva York/Nueva Jersey,-,-
8,2026-06-13,15:00,Catar,Suiza,Grupo B,San Francisco Bay Area,-,-
9,2026-06-14,19:00,Costa de Marfil,Ecuador,Grupo E,Filadelfia,-,-
10,2026-06-14,13:00,Alemania,Curazao,Grupo E,Houston,-,-
11,2026-06-14,16:00,Países Bajos,Japón,Grupo F,Dallas,-,-
12,2026-06-14,22:00,Suecia,Túnez,Grupo F,Monterrey,-,-
13,2026-06-15,18:00,Arabia Saudí,Uruguay,Grupo H,Miami,-,-
14,2026-06-15,12:00,España,Cabo Verde,Grupo H,Atlanta,-,-
15,2026-06-15,21:00,Irán,Nueva Zelanda,Grupo G,Los Ángeles,-,-
16,2026-06-15,15:00,Bélgica,Egipto,Grupo G,Seattle,-,-
17,2026-06-16,15:00,Francia,Senegal,Grupo I,Nueva York/Nueva Jersey,-,-
18,2026-06-16,18:00,Irak,Noruega,Grupo I,Boston,-,-
19,2026-06-16,21:00,Argentina,Argelia,Grupo J,Kansas City,-,-
20,2026-06-16,24:00,Austria,Jordania,Grupo J,San Francisco Bay Area,-,-
21,2026-06-17,19:00,Ghana,Panamá,Grupo L,Toronto,-,-
22,2026-06-17,16:00,Inglaterra,Croacia,Grupo L,Dallas,-,-
23,2026-06-17,13:00,Portugal,Congo DR,Grupo K,Houston,-,-
24,2026-06-17,22:00,Uzbekistán,Colombia,Grupo K,Ciudad de México,-,-
25,2026-06-18,12:00,Chequia,Sudáfrica,Grupo A,Atlanta,-,-
26,2026-06-18,15:00,Suiza,Bosnia y Herzegovina,Grupo B,Los Ángeles,-,-
27,2026-06-18,18:00,Canadá,Catar,Grupo B,Vancouver,-,-
28,2026-06-18,21:00,México,Corea del Sur,Grupo A,Guadalajara,-,-
29,2026-06-19,21:00,Brasil,Haití,Grupo C,Filadelfia,-,-
30,2026-06-19,18:00,Escocia,Marruecos,Grupo C,Boston,-,-
31,2026-06-19,23:00,Türkiye,Paraguay,Grupo D,San Francisco Bay Area,-,-
32,2026-06-19,15:00,Estados Unidos,Australia,Grupo D,Seattle,-,-
33,2026-06-20,16:00,Alemania,Costa de Marfil,Grupo E,Toronto,-,-
34,2026-06-20,20:00,Ecuador,Curazao,Grupo E,Kansas City,-,-
35,2026-06-20,13:00,Países Bajos,Suecia,Grupo F,Houston,-,-
36,2026-06-20,24:00,Túnez,Japón,Grupo F,Monterrey,-,-
37,2026-06-21,18:00,Uruguay,Cabo Verde,Grupo H,Miami,-,-
38,2026-06-21,12:00,España,Arabia Saudí,Grupo H,Atlanta,-,-
39,2026-06-21,15:00,Bélgica,Irán,Grupo G,Los Ángeles,-,-
40,2026-06-21,21:00,Nueva Zelanda,Egipto,Grupo G,Vancouver,-,-
41,2026-06-22,20:00,Noruega,Senegal,Grupo I,Nueva York/Nueva Jersey,-,-
42,2026-06-22,17:00,Francia,Irak,Grupo I,Filadelfia,-,-
